index_col;age;job;education;default;contact;month;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y;M1;M2;KNeighbors;Quadratic;MLPClass;AdaBoost;forest;naive_by;prediction;compareOrigin
15145;27;2;3;0;1;7;1;999;0;2;1.4;93.91799999999999;-42.7;4.958;5228.1;0;1;0;1;0;0;0;0;0;1;No-Yes
41087;30;2;4;0;1;11;2;999;0;2;-1.1;94.76700000000001;-50.8;1.0490000000000002;4963.6;0;0;1;1;1;1;1;1;1;6;No-Yes
23716;30;1;4;0;1;8;7;999;0;2;1.4;93.444;-36.1;4.962;5228.1;0;0;0;0;0;0;0;0;0;0;No-No
35956;50;1;4;0;1;5;4;999;0;2;-1.8;92.89299999999999;-46.2;1.264;5099.1;1;0;0;1;0;1;0;1;1;4;Yes-Yes
31258;29;2;3;0;1;5;1;999;0;2;-1.8;92.89299999999999;-46.2;1.334;5099.1;1;1;0;0;0;1;0;0;1;2;Yes-Yes
4147;34;2;4;0;0;5;2;999;0;2;1.1;93.994;-36.4;4.8580000000000005;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
37561;25;9;3;0;1;8;1;999;1;1;-2.9;92.20100000000001;-31.4;0.8690000000000001;5076.2;0;0;1;1;1;1;1;0;1;5;No-Yes
18561;36;3;4;2;1;7;7;999;0;2;1.4;93.91799999999999;-42.7;4.968;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
13833;52;8;2;0;1;7;3;999;0;2;1.4;93.91799999999999;-42.7;4.963;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
30879;39;2;3;0;1;5;1;999;0;2;-1.8;92.89299999999999;-46.2;1.344;5099.1;0;1;0;1;0;1;0;1;1;4;No-Yes
27389;32;5;4;0;1;11;2;999;0;2;-0.1;93.2;-42.0;4.021;5195.8;0;1;0;0;0;1;0;0;0;1;No-Yes
6202;39;2;2;0;0;5;6;999;0;2;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
2477;32;2;3;0;0;5;2;999;0;2;1.1;93.994;-36.4;4.856;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
32444;38;1;3;0;1;5;2;999;0;2;-1.8;92.89299999999999;-46.2;1.3130000000000002;5099.1;0;1;0;0;0;1;0;0;1;2;No-Yes
30319;33;2;2;0;1;4;1;999;0;2;-1.8;93.075;-47.1;1.365;5099.1;1;0;1;1;0;1;1;1;1;5;Yes-Yes
18929;57;1;3;0;1;8;1;999;0;2;1.4;93.444;-36.1;4.97;5228.1;0;1;0;1;0;1;0;0;0;2;No-Yes
17283;53;6;3;0;1;7;7;999;0;2;1.4;93.91799999999999;-42.7;4.962;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
25808;38;10;4;0;1;11;1;999;0;2;-0.1;93.2;-42.0;4.12;5195.8;0;1;0;0;0;1;0;0;0;1;No-Yes
29481;41;1;4;0;1;4;1;999;0;2;-1.8;93.075;-47.1;1.405;5099.1;0;0;1;0;1;1;1;0;1;4;No-Yes
10856;35;2;2;2;0;6;2;999;0;2;1.4;94.465;-41.8;4.962;5228.1;0;0;1;0;0;0;0;0;0;0;No-No
29946;39;2;2;0;1;4;3;999;0;2;-1.8;93.075;-47.1;1.405;5099.1;0;1;0;0;0;1;1;0;1;3;No-Yes
32886;47;2;2;2;1;5;1;999;0;2;-1.8;92.89299999999999;-46.2;1.2990000000000002;5099.1;0;1;0;1;0;1;0;0;0;2;No-Yes
33024;34;2;4;2;1;5;2;999;0;2;-1.8;92.89299999999999;-46.2;1.2990000000000002;5099.1;0;0;1;0;0;1;0;0;0;1;No-Yes
3170;26;1;3;0;0;5;4;999;0;2;1.1;93.994;-36.4;4.86;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
1911;48;2;4;0;0;5;4;999;0;2;1.1;93.994;-36.4;4.855;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
28759;38;1;3;0;1;4;2;999;1;1;-1.8;93.075;-47.1;1.41;5099.1;0;1;0;0;0;1;0;0;1;2;No-Yes
7958;38;1;3;0;0;6;1;999;0;2;1.4;94.465;-41.8;4.865;5228.1;0;1;0;1;0;0;0;0;0;1;No-Yes
2399;37;2;4;2;0;5;2;999;0;2;1.1;93.994;-36.4;4.856;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
25510;45;10;4;2;1;11;1;999;1;1;-0.1;93.2;-42.0;4.12;5195.8;0;0;0;0;0;0;0;0;0;0;No-No
30100;53;1;3;0;1;4;1;999;0;2;-1.8;93.075;-47.1;1.392;5099.1;0;0;1;0;1;1;1;1;1;5;No-Yes
23243;59;6;4;0;1;8;10;999;0;2;1.4;93.444;-36.1;4.965;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
13545;35;1;4;2;1;7;1;999;0;2;1.4;93.91799999999999;-42.7;4.963;5228.1;0;0;1;1;0;0;0;1;0;2;No-Yes
29930;39;1;4;0;1;4;3;999;2;1;-1.8;93.075;-47.1;1.405;5099.1;0;1;0;0;1;1;0;0;1;3;No-Yes
40687;38;8;3;0;0;9;1;9;3;3;-1.1;94.199;-37.5;0.879;4963.6;0;0;1;1;1;1;1;1;1;6;No-Yes
33688;34;1;4;0;1;5;1;999;0;2;-1.8;92.89299999999999;-46.2;1.281;5099.1;0;1;0;0;0;1;0;0;1;2;No-Yes
21721;52;1;3;0;1;8;4;999;0;2;1.4;93.444;-36.1;4.963;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
15208;34;10;4;0;0;7;5;999;0;2;1.4;93.91799999999999;-42.7;4.958;5228.1;0;0;1;1;0;0;0;0;0;1;No-Yes
40104;19;9;3;0;0;7;1;6;2;3;-1.7;94.215;-40.3;0.8270000000000001;4991.6;1;0;1;1;1;1;1;1;1;6;Yes-Yes
12120;32;7;4;0;0;6;1;999;0;2;1.4;94.465;-41.8;4.947;5228.1;0;0;0;0;0;0;0;0;0;0;No-No
35105;32;2;2;0;1;5;7;999;0;2;-1.8;92.89299999999999;-46.2;1.25;5099.1;0;1;0;0;0;1;0;0;0;1;No-Yes
9687;45;10;3;0;0;6;3;999;0;2;1.4;94.465;-41.8;4.961;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
37020;30;7;4;0;1;7;1;999;0;2;-2.9;92.469;-33.6;1.044;5076.2;0;0;1;1;1;1;1;0;1;5;No-Yes
37429;28;1;4;0;1;8;1;999;0;2;-2.9;92.20100000000001;-31.4;0.879;5076.2;0;0;1;1;1;1;1;0;1;5;No-Yes
14946;29;10;4;0;0;7;7;999;0;2;1.4;93.91799999999999;-42.7;4.957;5228.1;0;0;1;0;0;0;0;0;0;0;No-No
22034;45;11;3;0;1;8;4;999;0;2;1.4;93.444;-36.1;4.9639999999999995;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
15465;31;1;4;0;1;7;1;999;0;2;1.4;93.91799999999999;-42.7;4.957;5228.1;0;0;1;0;0;0;0;0;0;0;No-No
41133;28;7;4;0;1;11;2;6;3;3;-1.1;94.76700000000001;-50.8;1.041;4963.6;0;0;1;1;1;1;1;1;1;6;No-Yes
12627;41;8;3;0;1;7;3;999;0;2;1.4;93.91799999999999;-42.7;4.96;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
24544;34;1;3;0;1;11;1;999;0;2;-0.1;93.2;-42.0;4.191;5195.8;0;1;0;0;0;1;0;0;0;1;No-Yes
16342;48;10;4;2;1;7;2;999;0;2;1.4;93.91799999999999;-42.7;4.961;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
24965;47;8;3;0;1;11;1;999;1;1;-0.1;93.2;-42.0;4.1530000000000005;5195.8;0;1;0;0;0;1;0;0;1;2;No-Yes
30324;24;9;3;0;1;4;1;999;0;2;-1.8;93.075;-47.1;1.365;5099.1;0;0;1;1;1;1;1;1;1;6;No-Yes
36924;47;2;4;0;1;6;2;999;0;2;-2.9;92.963;-40.8;1.206;5076.2;0;1;0;1;1;1;1;1;1;6;No-Yes
33565;50;3;4;0;1;5;3;999;0;2;-1.8;92.89299999999999;-46.2;1.291;5099.1;0;1;0;0;1;1;0;0;1;3;No-Yes
17406;40;2;4;0;0;7;5;999;0;2;1.4;93.91799999999999;-42.7;4.962;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
5;45;8;3;2;0;5;1;999;0;2;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
23121;40;1;3;0;1;8;2;999;0;2;1.4;93.444;-36.1;4.965;5228.1;0;0;1;0;0;1;0;0;0;1;No-Yes
24803;53;7;2;0;1;11;1;999;0;2;-0.1;93.2;-42.0;4.1530000000000005;5195.8;0;1;0;0;0;1;0;0;0;1;No-Yes
5566;36;10;3;0;0;5;1;999;0;2;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
40763;30;10;4;0;1;9;2;999;0;2;-1.1;94.199;-37.5;0.879;4963.6;1;0;1;1;1;1;1;0;1;5;Yes-Yes
5783;35;1;4;0;0;5;4;999;0;2;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;0;0;0;0;No-No
21476;44;10;4;0;1;8;1;999;0;2;1.4;93.444;-36.1;4.963;5228.1;0;1;0;0;0;1;0;0;0;1;No-Yes
14481;30;2;2;0;1;7;3;999;0;2;1.4;93.91799999999999;-42.7;4.961;5228.1;0;0;0;0;0;0;0;0;0;0;No-No
20073;49;8;3;0;1;8;1;999;0;2;1.4;93.444;-36.1;4.965;5228.1;0;1;0;0;0;1;0;0;0;1;No-Yes
30707;41;2;3;0;1;5;1;999;2;1;-1.8;92.89299999999999;-46.2;1.344;5099.1;0;1;0;0;1;1;0;0;1;3;No-Yes
24832;38;10;4;0;1;11;1;999;0;2;-0.1;93.2;-42.0;4.1530000000000005;5195.8;0;0;1;0;0;1;0;0;0;1;No-Yes
27511;54;10;3;0;1;11;2;999;0;2;-0.1;93.2;-42.0;4.021;5195.8;0;0;1;0;0;1;0;0;1;2;No-Yes
19211;31;5;4;0;1;8;1;999;0;2;1.4;93.444;-36.1;4.967;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
9066;25;10;4;0;0;6;2;999;0;2;1.4;94.465;-41.8;4.8660000000000005;5228.1;0;0;1;0;0;0;0;1;0;1;No-Yes
4615;58;6;4;0;0;5;2;999;0;2;1.1;93.994;-36.4;4.856;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
7545;33;8;3;0;0;5;1;999;0;2;1.1;93.994;-36.4;4.864;5191.0;0;0;1;0;0;0;0;0;0;0;No-No
37502;28;11;4;0;1;8;2;999;0;2;-2.9;92.20100000000001;-31.4;0.873;5076.2;0;0;1;1;1;1;1;1;1;6;No-Yes
39236;28;7;4;0;1;3;1;999;1;1;-1.8;93.369;-34.8;0.6509999999999999;5008.7;0;0;1;1;1;1;1;1;1;6;No-Yes
27598;49;2;4;0;1;11;2;999;0;2;-0.1;93.2;-42.0;4.021;5195.8;0;1;0;1;0;1;0;0;0;2;No-Yes
30058;44;1;4;0;1;4;1;999;0;2;-1.8;93.075;-47.1;1.406;5099.1;1;1;0;0;1;1;1;1;1;5;Yes-Yes
33833;36;2;3;2;1;5;3;999;1;1;-1.8;92.89299999999999;-46.2;1.281;5099.1;1;1;0;0;0;1;0;0;1;2;Yes-Yes
19276;37;10;3;0;1;8;1;999;0;2;1.4;93.444;-36.1;4.967;5228.1;1;0;1;0;0;1;0;0;0;1;Yes-Yes
14018;30;1;4;0;1;7;2;999;0;2;1.4;93.91799999999999;-42.7;4.963;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
21649;30;5;3;0;1;8;12;999;0;2;1.4;93.444;-36.1;4.963;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
578;46;5;4;0;0;5;2;999;0;2;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
13724;25;1;3;0;1;7;2;999;0;2;1.4;93.91799999999999;-42.7;4.963;5228.1;0;0;1;0;0;0;0;0;0;0;No-No
33303;42;2;3;2;1;5;6;999;0;2;-1.8;92.89299999999999;-46.2;1.291;5099.1;0;1;0;0;0;1;0;0;0;1;No-Yes
36243;29;1;4;0;1;6;1;999;0;2;-2.9;92.963;-40.8;1.266;5076.2;0;0;1;1;1;1;1;1;1;6;No-Yes
13218;32;2;2;2;0;7;1;999;0;2;1.4;93.91799999999999;-42.7;4.962;5228.1;1;1;0;0;0;0;0;0;0;0;Yes-No
29325;43;2;2;2;1;4;2;999;0;2;-1.8;93.075;-47.1;1.405;5099.1;0;1;0;0;0;1;1;0;0;2;No-Yes
31973;43;8;3;0;1;5;5;999;0;2;-1.8;92.89299999999999;-46.2;1.327;5099.1;0;0;1;1;0;1;0;0;1;3;No-Yes
37497;32;8;3;0;1;8;1;999;0;2;-2.9;92.20100000000001;-31.4;0.873;5076.2;0;1;0;0;1;1;1;0;1;4;No-Yes
33041;41;2;2;2;1;5;2;999;0;2;-1.8;92.89299999999999;-46.2;1.2990000000000002;5099.1;0;1;0;0;0;1;0;1;0;2;No-Yes
36751;25;1;4;0;1;6;3;4;1;3;-2.9;92.963;-40.8;1.286;5076.2;0;0;1;1;1;1;1;1;1;6;No-Yes
12854;56;10;4;0;1;7;1;999;0;2;1.4;93.91799999999999;-42.7;4.962;5228.1;0;0;0;0;0;1;0;0;0;1;No-Yes
36818;32;7;4;0;1;6;1;999;0;2;-2.9;92.963;-40.8;1.26;5076.2;0;0;1;1;1;1;1;0;1;5;No-Yes
11088;40;1;3;0;0;6;1;999;0;2;1.4;94.465;-41.8;4.961;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
13524;36;2;3;2;1;7;1;999;0;2;1.4;93.91799999999999;-42.7;4.963;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
12826;35;1;3;0;1;7;2;999;0;2;1.4;93.91799999999999;-42.7;4.962;5228.1;1;1;0;1;0;0;0;0;0;1;Yes-Yes
39009;31;7;4;0;1;12;1;999;0;2;-3.0;92.713;-33.0;0.715;5023.5;1;0;1;1;1;1;1;0;1;5;Yes-Yes
39963;37;11;4;2;0;6;1;999;0;2;-1.7;94.055;-39.8;0.754;4991.6;1;1;0;0;1;1;1;1;0;4;Yes-Yes
