Index,ScoredDescionForest,Index (2),scoredLogistic,Index (3),ScoredBayes,Index (2) (2),scoredLocally,Index (4),Scored_Descion,Index (2) (3),Scored Labels,Index (5),D_y,ScoredAverage,prediction,failed,D_y_str,predictionStr,result
30751,0,30751,1,30751,1,30751,0,30751,0,30751,0,30751,0,0,1,0,No,Yes,No-Yes
28761,0,28761,1,28761,1,28761,0,28761,0,28761,0,28761,0,0,1,0,No,Yes,No-Yes
27901,1,27901,1,27901,1,27901,1,27901,1,27901,1,27901,1,1,1,0,Yes,Yes,Yes-Yes
33736,0,33736,0,33736,1,33736,1,33736,0,33736,0,33736,0,0,1,0,No,Yes,No-Yes
3714,0,3714,0,3714,0,3714,0,3714,0,3714,0,3714,0,0,0,0,No,No,No-No
26416,0,26416,0,26416,1,26416,0,26416,0,26416,0,26416,0,0,1,0,No,Yes,No-Yes
18812,0,18812,0,18812,0,18812,0,18812,0,18812,0,18812,0,1,1,0,No,Yes,No-Yes
10658,0,10658,0,10658,0,10658,0,10658,0,10658,0,10658,0,0,0,0,No,No,No-No
6862,0,6862,0,6862,0,6862,0,6862,0,6862,0,6862,0,0,0,0,No,No,No-No
8262,0,8262,0,8262,0,8262,0,8262,0,8262,0,8262,0,0,0,0,No,No,No-No
3335,0,3335,1,3335,1,3335,0,3335,0,3335,0,3335,0,0,1,0,No,Yes,No-Yes
19848,0,19848,0,19848,0,19848,0,19848,0,19848,0,19848,0,0,0,0,No,No,No-No
29594,0,29594,1,29594,1,29594,1,29594,0,29594,0,29594,0,1,1,0,No,Yes,No-Yes
34841,1,34841,1,34841,1,34841,1,34841,1,34841,1,34841,0,1,1,0,No,Yes,No-Yes
34255,1,34255,1,34255,1,34255,1,34255,1,34255,1,34255,0,1,1,0,No,Yes,No-Yes
22285,1,22285,0,22285,1,22285,1,22285,1,22285,1,22285,0,0,1,0,No,Yes,No-Yes
5074,0,5074,0,5074,0,5074,0,5074,0,5074,0,5074,0,0,0,0,No,No,No-No
2312,0,2312,0,2312,0,2312,0,2312,0,2312,0,2312,0,0,0,0,No,No,No-No
32484,0,32484,0,32484,1,32484,0,32484,0,32484,0,32484,0,0,1,0,No,Yes,No-Yes
10909,0,10909,0,10909,0,10909,0,10909,0,10909,0,10909,1,0,0,1,Yes,No,Yes-No
19298,0,19298,0,19298,0,19298,0,19298,0,19298,0,19298,0,1,1,0,No,Yes,No-Yes
28118,1,28118,1,28118,1,28118,1,28118,1,28118,1,28118,0,1,1,0,No,Yes,No-Yes
33605,0,33605,1,33605,1,33605,1,33605,0,33605,0,33605,0,1,1,0,No,Yes,No-Yes
26120,0,26120,1,26120,1,26120,1,26120,0,26120,0,26120,0,1,1,0,No,Yes,No-Yes
12258,0,12258,0,12258,0,12258,0,12258,0,12258,0,12258,0,1,1,0,No,Yes,No-Yes
9505,0,9505,0,9505,0,9505,0,9505,0,9505,0,9505,0,0,0,0,No,No,No-No
17322,0,17322,1,17322,1,17322,1,17322,0,17322,0,17322,0,0,1,0,No,Yes,No-Yes
22800,0,22800,0,22800,0,22800,0,22800,0,22800,0,22800,0,0,0,0,No,No,No-No
34007,1,34007,1,34007,1,34007,1,34007,1,34007,1,34007,1,1,1,0,Yes,Yes,Yes-Yes
4088,0,4088,0,4088,0,4088,0,4088,0,4088,0,4088,0,0,0,0,No,No,No-No
10875,0,10875,0,10875,0,10875,0,10875,0,10875,0,10875,0,0,0,0,No,No,No-No
3294,0,3294,0,3294,0,3294,0,3294,0,3294,0,3294,0,1,1,0,No,Yes,No-Yes
34221,1,34221,1,34221,1,34221,1,34221,1,34221,1,34221,0,1,1,0,No,Yes,No-Yes
12403,0,12403,0,12403,0,12403,0,12403,0,12403,0,12403,0,1,1,0,No,Yes,No-Yes
6796,0,6796,0,6796,0,6796,0,6796,0,6796,0,6796,0,0,0,0,No,No,No-No
4557,0,4557,1,4557,1,4557,1,4557,0,4557,1,4557,0,0,1,0,No,Yes,No-Yes
30356,0,30356,1,30356,1,30356,1,30356,0,30356,0,30356,0,0,1,0,No,Yes,No-Yes
9500,0,9500,1,9500,1,9500,0,9500,0,9500,0,9500,0,0,1,0,No,Yes,No-Yes
28590,0,28590,1,28590,1,28590,0,28590,0,28590,0,28590,0,0,1,0,No,Yes,No-Yes
16521,1,16521,1,16521,1,16521,1,16521,1,16521,0,16521,0,1,1,0,No,Yes,No-Yes
14754,0,14754,1,14754,1,14754,1,14754,0,14754,0,14754,1,1,1,0,Yes,Yes,Yes-Yes
17544,0,17544,0,17544,0,17544,0,17544,0,17544,0,17544,0,0,0,0,No,No,No-No
33445,0,33445,0,33445,1,33445,0,33445,0,33445,0,33445,0,0,1,0,No,Yes,No-Yes
17775,0,17775,0,17775,0,17775,0,17775,0,17775,0,17775,0,1,1,0,No,Yes,No-Yes
18206,0,18206,0,18206,0,18206,0,18206,0,18206,0,18206,0,0,0,0,No,No,No-No
12908,0,12908,0,12908,0,12908,0,12908,0,12908,0,12908,0,1,1,0,No,Yes,No-Yes
23486,0,23486,1,23486,1,23486,1,23486,0,23486,1,23486,0,0,1,0,No,Yes,No-Yes
32592,0,32592,0,32592,0,32592,0,32592,0,32592,0,32592,0,1,1,0,No,Yes,No-Yes
35172,1,35172,1,35172,1,35172,1,35172,1,35172,1,35172,1,1,1,0,Yes,Yes,Yes-Yes
32,0,32,0,32,0,32,0,32,0,32,0,32,0,0,0,0,No,No,No-No
21009,0,21009,0,21009,0,21009,0,21009,0,21009,0,21009,0,0,0,0,No,No,No-No
269,1,269,0,269,0,269,0,269,1,269,0,269,0,0,1,0,No,Yes,No-Yes
16393,0,16393,1,16393,1,16393,1,16393,0,16393,0,16393,0,1,1,0,No,Yes,No-Yes
37789,1,37789,1,37789,1,37789,1,37789,1,37789,1,37789,1,1,1,0,Yes,Yes,Yes-Yes
4828,1,4828,0,4828,0,4828,0,4828,1,4828,0,4828,0,0,1,0,No,Yes,No-Yes
14513,0,14513,0,14513,0,14513,0,14513,0,14513,0,14513,0,0,0,0,No,No,No-No
33887,1,33887,1,33887,1,33887,1,33887,1,33887,1,33887,0,1,1,0,No,Yes,No-Yes
24941,0,24941,0,24941,1,24941,0,24941,0,24941,0,24941,0,1,1,0,No,Yes,No-Yes
20282,0,20282,0,20282,0,20282,0,20282,0,20282,0,20282,0,1,1,0,No,Yes,No-Yes
35538,1,35538,1,35538,1,35538,1,35538,1,35538,1,35538,0,1,1,0,No,Yes,No-Yes
1833,0,1833,1,1833,0,1833,0,1833,0,1833,0,1833,0,0,1,0,No,Yes,No-Yes
6317,0,6317,0,6317,0,6317,0,6317,0,6317,0,6317,0,1,1,0,No,Yes,No-Yes
34098,0,34098,1,34098,1,34098,1,34098,0,34098,1,34098,1,1,1,0,Yes,Yes,Yes-Yes
13502,0,13502,0,13502,0,13502,0,13502,0,13502,0,13502,0,1,1,0,No,Yes,No-Yes
33142,0,33142,1,33142,1,33142,0,33142,0,33142,0,33142,0,0,1,0,No,Yes,No-Yes
8461,1,8461,1,8461,1,8461,1,8461,1,8461,1,8461,0,0,1,0,No,Yes,No-Yes
26555,1,26555,1,26555,1,26555,1,26555,1,26555,0,26555,0,1,1,0,No,Yes,No-Yes
20838,1,20838,0,20838,1,20838,1,20838,1,20838,1,20838,0,1,1,0,No,Yes,No-Yes
25770,1,25770,1,25770,1,25770,1,25770,1,25770,1,25770,1,0,1,0,Yes,Yes,Yes-Yes
11004,0,11004,0,11004,0,11004,0,11004,0,11004,0,11004,0,0,0,0,No,No,No-No
31555,0,31555,0,31555,1,31555,0,31555,0,31555,0,31555,0,1,1,0,No,Yes,No-Yes
26432,1,26432,0,26432,0,26432,0,26432,1,26432,0,26432,0,0,1,0,No,Yes,No-Yes
22496,0,22496,0,22496,1,22496,0,22496,0,22496,0,22496,0,0,1,0,No,Yes,No-Yes
37679,1,37679,1,37679,1,37679,1,37679,1,37679,1,37679,1,1,1,0,Yes,Yes,Yes-Yes
18080,0,18080,1,18080,1,18080,1,18080,0,18080,1,18080,0,1,1,0,No,Yes,No-Yes
19847,1,19847,0,19847,0,19847,0,19847,1,19847,0,19847,0,1,1,0,No,Yes,No-Yes
8505,0,8505,0,8505,0,8505,0,8505,0,8505,0,8505,0,0,0,0,No,No,No-No
29304,0,29304,1,29304,1,29304,1,29304,0,29304,0,29304,0,1,1,0,No,Yes,No-Yes
12603,0,12603,0,12603,0,12603,0,12603,0,12603,0,12603,0,1,1,0,No,Yes,No-Yes
28958,0,28958,1,28958,1,28958,0,28958,0,28958,0,28958,0,0,1,0,No,Yes,No-Yes
26617,1,26617,1,26617,1,26617,1,26617,1,26617,1,26617,0,1,1,0,No,Yes,No-Yes
6144,0,6144,0,6144,0,6144,0,6144,0,6144,0,6144,0,0,0,0,No,No,No-No
35156,1,35156,1,35156,1,35156,1,35156,1,35156,1,35156,0,1,1,0,No,Yes,No-Yes
16014,0,16014,1,16014,1,16014,1,16014,0,16014,1,16014,1,1,1,0,Yes,Yes,Yes-Yes
9904,1,9904,0,9904,0,9904,0,9904,1,9904,0,9904,0,0,1,0,No,Yes,No-Yes
255,0,255,0,255,0,255,0,255,0,255,0,255,0,0,0,0,No,No,No-No
32034,0,32034,1,32034,1,32034,1,32034,0,32034,0,32034,0,0,1,0,No,Yes,No-Yes
509,0,509,0,509,0,509,0,509,0,509,0,509,0,0,0,0,No,No,No-No
20924,0,20924,1,20924,1,20924,1,20924,0,20924,1,20924,0,1,1,0,No,Yes,No-Yes
3076,1,3076,0,3076,0,3076,0,3076,1,3076,0,3076,0,0,1,0,No,Yes,No-Yes
27771,0,27771,0,27771,0,27771,0,27771,0,27771,0,27771,0,0,0,0,No,No,No-No
8795,0,8795,0,8795,0,8795,0,8795,0,8795,0,8795,0,0,0,0,No,No,No-No
12750,0,12750,0,12750,0,12750,0,12750,0,12750,0,12750,0,1,1,0,No,Yes,No-Yes
14552,0,14552,0,14552,0,14552,0,14552,0,14552,0,14552,0,1,1,0,No,Yes,No-Yes
22337,0,22337,0,22337,1,22337,0,22337,0,22337,0,22337,0,0,1,0,No,Yes,No-Yes
36312,1,36312,1,36312,1,36312,1,36312,1,36312,1,36312,1,1,1,0,Yes,Yes,Yes-Yes
7087,0,7087,0,7087,0,7087,0,7087,0,7087,0,7087,0,0,0,0,No,No,No-No
15388,0,15388,0,15388,0,15388,0,15388,0,15388,0,15388,0,1,1,0,No,Yes,No-Yes
26168,0,26168,1,26168,1,26168,1,26168,0,26168,1,26168,0,1,1,0,No,Yes,No-Yes
34489,1,34489,1,34489,1,34489,1,34489,1,34489,1,34489,0,1,1,0,No,Yes,No-Yes
1766,0,1766,1,1766,0,1766,0,1766,0,1766,0,1766,0,0,1,0,No,Yes,No-Yes
35336,0,35336,1,35336,1,35336,1,35336,0,35336,1,35336,0,1,1,0,No,Yes,No-Yes
4673,0,4673,0,4673,0,4673,0,4673,0,4673,0,4673,0,0,0,0,No,No,No-No
35035,1,35035,1,35035,1,35035,1,35035,1,35035,1,35035,0,1,1,0,No,Yes,No-Yes
12692,0,12692,0,12692,0,12692,0,12692,0,12692,0,12692,1,1,1,0,Yes,Yes,Yes-Yes
13031,0,13031,1,13031,0,13031,1,13031,0,13031,1,13031,0,0,1,0,No,Yes,No-Yes
16752,0,16752,0,16752,0,16752,0,16752,0,16752,0,16752,1,1,1,0,Yes,Yes,Yes-Yes
22388,0,22388,0,22388,0,22388,0,22388,0,22388,0,22388,0,0,0,0,No,No,No-No
11064,0,11064,0,11064,0,11064,0,11064,0,11064,0,11064,0,0,0,0,No,No,No-No
27095,1,27095,1,27095,1,27095,1,27095,1,27095,1,27095,0,1,1,0,No,Yes,No-Yes
10980,0,10980,0,10980,0,10980,0,10980,0,10980,0,10980,0,0,0,0,No,No,No-No
10029,0,10029,0,10029,0,10029,0,10029,0,10029,0,10029,0,0,0,0,No,No,No-No
8124,0,8124,0,8124,0,8124,0,8124,0,8124,0,8124,0,0,0,0,No,No,No-No
20695,0,20695,0,20695,0,20695,0,20695,0,20695,0,20695,0,0,0,0,No,No,No-No
10398,1,10398,0,10398,0,10398,0,10398,1,10398,1,10398,0,0,1,0,No,Yes,No-Yes
31058,1,31058,1,31058,1,31058,1,31058,1,31058,1,31058,0,0,1,0,No,Yes,No-Yes
3858,0,3858,0,3858,0,3858,0,3858,0,3858,0,3858,0,0,0,0,No,No,No-No
22612,0,22612,0,22612,1,22612,0,22612,0,22612,0,22612,0,1,1,0,No,Yes,No-Yes
10645,0,10645,0,10645,0,10645,0,10645,0,10645,0,10645,0,0,0,0,No,No,No-No
13283,0,13283,0,13283,0,13283,0,13283,0,13283,0,13283,0,1,1,0,No,Yes,No-Yes
29053,0,29053,0,29053,1,29053,1,29053,0,29053,0,29053,1,1,1,0,Yes,Yes,Yes-Yes
28201,1,28201,1,28201,1,28201,1,28201,1,28201,1,28201,0,1,1,0,No,Yes,No-Yes
32651,1,32651,1,32651,1,32651,1,32651,1,32651,1,32651,1,1,1,0,Yes,Yes,Yes-Yes
33632,0,33632,0,33632,0,33632,0,33632,0,33632,0,33632,0,0,0,0,No,No,No-No
29484,1,29484,1,29484,1,29484,0,29484,1,29484,0,29484,0,1,1,0,No,Yes,No-Yes
2242,0,2242,0,2242,0,2242,0,2242,0,2242,0,2242,0,0,0,0,No,No,No-No
7417,0,7417,0,7417,0,7417,0,7417,0,7417,0,7417,0,0,0,0,No,No,No-No
6405,0,6405,0,6405,0,6405,0,6405,0,6405,0,6405,0,0,0,0,No,No,No-No
21234,0,21234,0,21234,0,21234,0,21234,0,21234,0,21234,0,0,0,0,No,No,No-No
34774,1,34774,1,34774,1,34774,1,34774,1,34774,1,34774,0,0,1,0,No,Yes,No-Yes
9638,1,9638,1,9638,1,9638,1,9638,1,9638,1,9638,0,0,1,0,No,Yes,No-Yes
19758,0,19758,0,19758,0,19758,0,19758,0,19758,0,19758,0,1,1,0,No,Yes,No-Yes
20624,0,20624,1,20624,1,20624,1,20624,0,20624,0,20624,0,1,1,0,No,Yes,No-Yes
14044,1,14044,1,14044,1,14044,1,14044,1,14044,1,14044,0,0,1,0,No,Yes,No-Yes
35744,1,35744,1,35744,1,35744,1,35744,1,35744,1,35744,0,1,1,0,No,Yes,No-Yes
20978,1,20978,0,20978,0,20978,0,20978,1,20978,0,20978,0,1,1,0,No,Yes,No-Yes
12313,0,12313,0,12313,0,12313,0,12313,0,12313,0,12313,0,0,0,0,No,No,No-No
32006,0,32006,0,32006,1,32006,0,32006,0,32006,0,32006,0,0,1,0,No,Yes,No-Yes
37580,1,37580,1,37580,1,37580,1,37580,1,37580,1,37580,1,1,1,0,Yes,Yes,Yes-Yes
15446,0,15446,0,15446,0,15446,0,15446,0,15446,0,15446,0,1,1,0,No,Yes,No-Yes
38008,1,38008,1,38008,1,38008,1,38008,1,38008,1,38008,0,1,1,0,No,Yes,No-Yes
35283,0,35283,1,35283,1,35283,1,35283,0,35283,0,35283,1,1,1,0,Yes,Yes,Yes-Yes
10548,0,10548,0,10548,0,10548,0,10548,0,10548,0,10548,0,0,0,0,No,No,No-No
16863,0,16863,0,16863,0,16863,0,16863,0,16863,0,16863,0,0,0,0,No,No,No-No
18443,1,18443,1,18443,1,18443,1,18443,1,18443,1,18443,0,0,1,0,No,Yes,No-Yes
32881,0,32881,1,32881,1,32881,0,32881,0,32881,0,32881,0,0,1,0,No,Yes,No-Yes
7575,0,7575,0,7575,0,7575,0,7575,0,7575,0,7575,0,0,0,0,No,No,No-No
34632,0,34632,1,34632,1,34632,1,34632,0,34632,0,34632,0,1,1,0,No,Yes,No-Yes
8107,0,8107,0,8107,0,8107,0,8107,0,8107,0,8107,0,0,0,0,No,No,No-No
17959,0,17959,0,17959,0,17959,0,17959,0,17959,0,17959,0,1,1,0,No,Yes,No-Yes
10705,0,10705,0,10705,0,10705,0,10705,0,10705,0,10705,0,0,0,0,No,No,No-No
25397,0,25397,0,25397,1,25397,0,25397,0,25397,0,25397,0,1,1,0,No,Yes,No-Yes
37806,1,37806,1,37806,1,37806,1,37806,1,37806,1,37806,1,1,1,0,Yes,Yes,Yes-Yes
2764,0,2764,0,2764,0,2764,0,2764,0,2764,0,2764,0,0,0,0,No,No,No-No
5076,0,5076,1,5076,1,5076,0,5076,0,5076,1,5076,0,0,1,0,No,Yes,No-Yes
25430,0,25430,0,25430,1,25430,0,25430,0,25430,0,25430,0,1,1,0,No,Yes,No-Yes
25104,0,25104,0,25104,1,25104,0,25104,0,25104,0,25104,0,0,1,0,No,Yes,No-Yes
27090,0,27090,1,27090,1,27090,1,27090,0,27090,0,27090,0,1,1,0,No,Yes,No-Yes
36711,1,36711,1,36711,1,36711,1,36711,1,36711,1,36711,1,1,1,0,Yes,Yes,Yes-Yes
9085,0,9085,0,9085,0,9085,0,9085,0,9085,0,9085,0,0,0,0,No,No,No-No
22446,0,22446,0,22446,1,22446,1,22446,0,22446,0,22446,0,0,1,0,No,Yes,No-Yes
32521,0,32521,1,32521,1,32521,0,32521,0,32521,0,32521,0,0,1,0,No,Yes,No-Yes
28973,0,28973,0,28973,1,28973,0,28973,0,28973,0,28973,0,0,1,0,No,Yes,No-Yes
27186,0,27186,0,27186,0,27186,0,27186,0,27186,0,27186,0,1,1,0,No,Yes,No-Yes
2063,0,2063,0,2063,0,2063,0,2063,0,2063,0,2063,0,0,0,0,No,No,No-No
21804,0,21804,0,21804,0,21804,0,21804,0,21804,0,21804,0,0,0,0,No,No,No-No
5991,0,5991,0,5991,0,5991,0,5991,0,5991,0,5991,0,0,0,0,No,No,No-No
5325,0,5325,0,5325,0,5325,0,5325,0,5325,0,5325,0,0,0,0,No,No,No-No
11259,0,11259,0,11259,0,11259,0,11259,0,11259,0,11259,0,0,0,0,No,No,No-No
11843,0,11843,0,11843,0,11843,1,11843,0,11843,0,11843,0,0,1,0,No,Yes,No-Yes
33988,0,33988,1,33988,1,33988,1,33988,0,33988,1,33988,0,1,1,0,No,Yes,No-Yes
30773,0,30773,0,30773,0,30773,0,30773,0,30773,0,30773,0,0,0,0,No,No,No-No
27442,0,27442,0,27442,1,27442,1,27442,0,27442,0,27442,0,1,1,0,No,Yes,No-Yes
7026,0,7026,0,7026,0,7026,0,7026,0,7026,0,7026,0,1,1,0,No,Yes,No-Yes
22309,1,22309,0,22309,1,22309,1,22309,1,22309,1,22309,0,0,1,0,No,Yes,No-Yes
18008,1,18008,0,18008,0,18008,0,18008,1,18008,0,18008,0,1,1,0,No,Yes,No-Yes
27655,0,27655,1,27655,1,27655,0,27655,0,27655,0,27655,0,0,1,0,No,Yes,No-Yes
26637,1,26637,1,26637,1,26637,1,26637,1,26637,1,26637,0,1,1,0,No,Yes,No-Yes
34024,0,34024,1,34024,1,34024,1,34024,0,34024,1,34024,0,1,1,0,No,Yes,No-Yes
32680,1,32680,1,32680,1,32680,1,32680,1,32680,1,32680,0,1,1,0,No,Yes,No-Yes
25120,0,25120,0,25120,1,25120,0,25120,0,25120,0,25120,1,1,1,0,Yes,Yes,Yes-Yes
20637,0,20637,0,20637,0,20637,0,20637,0,20637,0,20637,0,1,1,0,No,Yes,No-Yes
28419,0,28419,1,28419,1,28419,1,28419,0,28419,1,28419,1,0,1,0,Yes,Yes,Yes-Yes
2571,0,2571,0,2571,0,2571,0,2571,0,2571,0,2571,0,0,0,0,No,No,No-No
1702,0,1702,1,1702,1,1702,1,1702,0,1702,1,1702,0,0,1,0,No,Yes,No-Yes
6702,0,6702,0,6702,0,6702,0,6702,0,6702,0,6702,0,0,0,0,No,No,No-No
37430,1,37430,1,37430,1,37430,1,37430,1,37430,1,37430,1,1,1,0,Yes,Yes,Yes-Yes
15507,0,15507,0,15507,0,15507,0,15507,0,15507,1,15507,0,0,1,0,No,Yes,No-Yes
30674,0,30674,1,30674,1,30674,1,30674,0,30674,0,30674,0,0,1,0,No,Yes,No-Yes
20690,1,20690,0,20690,0,20690,0,20690,1,20690,0,20690,0,1,1,0,No,Yes,No-Yes
29212,0,29212,1,29212,1,29212,0,29212,0,29212,0,29212,0,0,1,0,No,Yes,No-Yes
21845,0,21845,0,21845,0,21845,0,21845,0,21845,0,21845,0,0,0,0,No,No,No-No
19338,0,19338,0,19338,0,19338,0,19338,0,19338,0,19338,0,0,0,0,No,No,No-No
31577,0,31577,0,31577,0,31577,0,31577,0,31577,0,31577,0,0,0,0,No,No,No-No
8196,0,8196,0,8196,0,8196,0,8196,0,8196,0,8196,0,0,0,0,No,No,No-No
25696,0,25696,0,25696,0,25696,0,25696,0,25696,0,25696,0,0,0,0,No,No,No-No
7961,0,7961,1,7961,1,7961,1,7961,0,7961,0,7961,0,0,1,0,No,Yes,No-Yes
9389,0,9389,0,9389,0,9389,0,9389,0,9389,1,9389,0,0,1,0,No,Yes,No-Yes
7428,0,7428,0,7428,0,7428,0,7428,0,7428,0,7428,1,0,0,1,Yes,No,Yes-No
27234,1,27234,1,27234,1,27234,1,27234,1,27234,1,27234,0,0,1,0,No,Yes,No-Yes
30762,0,30762,1,30762,1,30762,1,30762,0,30762,0,30762,0,0,1,0,No,Yes,No-Yes
25819,0,25819,0,25819,1,25819,1,25819,0,25819,1,25819,1,0,1,0,Yes,Yes,Yes-Yes
17290,0,17290,1,17290,1,17290,1,17290,0,17290,1,17290,0,0,1,0,No,Yes,No-Yes
37151,1,37151,1,37151,1,37151,1,37151,1,37151,1,37151,0,1,1,0,No,Yes,No-Yes
4287,0,4287,0,4287,0,4287,0,4287,0,4287,0,4287,0,0,0,0,No,No,No-No
10964,0,10964,0,10964,0,10964,0,10964,0,10964,0,10964,0,0,0,0,No,No,No-No
23088,0,23088,0,23088,0,23088,0,23088,0,23088,0,23088,0,0,0,0,No,No,No-No
2056,0,2056,0,2056,0,2056,0,2056,0,2056,0,2056,0,0,0,0,No,No,No-No
30655,0,30655,0,30655,1,30655,0,30655,0,30655,0,30655,0,1,1,0,No,Yes,No-Yes
4332,0,4332,0,4332,0,4332,0,4332,0,4332,0,4332,0,0,0,0,No,No,No-No
16227,0,16227,1,16227,1,16227,1,16227,0,16227,1,16227,0,0,1,0,No,Yes,No-Yes
26199,1,26199,1,26199,1,26199,1,26199,1,26199,1,26199,0,1,1,0,No,Yes,No-Yes
21640,0,21640,0,21640,0,21640,0,21640,0,21640,0,21640,0,1,1,0,No,Yes,No-Yes
37371,1,37371,1,37371,1,37371,1,37371,1,37371,1,37371,1,1,1,0,Yes,Yes,Yes-Yes
19377,1,19377,0,19377,0,19377,0,19377,1,19377,0,19377,1,1,1,0,Yes,Yes,Yes-Yes
37904,0,37904,1,37904,1,37904,1,37904,0,37904,1,37904,1,1,1,0,Yes,Yes,Yes-Yes
11265,0,11265,0,11265,0,11265,0,11265,0,11265,0,11265,0,0,0,0,No,No,No-No
12542,0,12542,0,12542,0,12542,0,12542,0,12542,0,12542,0,0,0,0,No,No,No-No
24500,0,24500,0,24500,1,24500,0,24500,0,24500,0,24500,0,1,1,0,No,Yes,No-Yes
8495,0,8495,0,8495,0,8495,0,8495,0,8495,0,8495,0,0,0,0,No,No,No-No
